time,x,y,force
280,24,84,9.41
281,24,79,3.14
282,24,80,9.41
283,24,81,10.98
284,24,82,14.12
285,24,83,42.35
286,24,84,10.98
287,24,79,3.14
288,24,80,9.41
289,24,81,10.98
290,24,82,15.69
291,24,83,45.49
292,24,84,12.55
293,24,79,3.14
294,24,80,9.41
295,24,81,12.55
296,24,82,17.25
297,24,83,48.63
298,24,84,12.55
299,24,79,3.14
300,24,80,9.41
301,24,81,12.55
302,24,82,17.25
303,24,83,51.76
304,24,84,14.12
305,24,79,3.14
306,24,80,9.41
307,24,81,14.12
308,24,82,18.82
309,24,83,56.47
310,24,84,15.69
311,24,79,1.57
312,24,80,9.41
313,24,81,14.12
314,24,82,20.39
315,24,83,61.18
316,24,84,18.82
317,24,79,1.57
318,24,80,9.41
319,24,81,14.12
320,24,82,21.96
321,24,83,67.45
322,24,84,20.39
323,24,80,7.84
324,24,81,15.69
325,24,82,21.96
326,24,83,73.73
327,24,84,23.53
328,24,86,1.57
329,24,80,6.27
330,24,81,14.12
331,24,82,23.53
332,24,83,80.00
333,24,84,25.10
334,24,86,3.14
335,24,80,4.71
336,24,81,12.55
337,24,82,25.10
338,24,83,86.27
339,24,84,28.24
340,24,86,3.14
341,24,80,3.14
342,24,81,10.98
343,24,82,25.10
344,24,83,92.55
345,24,84,31.37
346,24,86,3.14
347,24,80,1.57
348,24,81,9.41
349,24,82,23.53
350,24,83,98.82
351,24,84,34.51
352,24,86,4.71
353,24,81,6.27
354,24,82,21.96
355,24,83,103.53
356,24,84,37.65
357,24,86,4.71
358,24,81,4.71
359,24,82,20.39
360,24,83,106.67
361,24,84,39.22
362,24,86,6.27
363,24,81,3.14
364,24,82,18.82
365,24,83,108.24
366,24,84,40.78
367,24,86,6.27
368,24,81,1.57
369,24,82,15.69
370,24,83,109.80
371,24,84,42.35
372,24,86,7.84
373,24,81,1.57
374,24,82,12.55
375,24,83,108.24
376,24,84,42.35
377,24,86,9.41
378,24,87,1.57
379,24,82,9.41
380,24,83,103.53
381,24,84,42.35
382,24,86,9.41
383,24,87,1.57
384,24,82,6.27
385,24,83,95.69
386,24,84,40.78
387,24,86,10.98
388,24,87,1.57
389,24,82,3.14
390,24,83,80.00
391,24,84,37.65
392,24,86,10.98
393,24,87,1.57
394,24,82,1.57
395,24,83,59.61
396,24,84,31.37
397,24,86,10.98
398,24,87,3.14
399,24,83,37.65
400,24,84,25.10
401,24,86,10.98
402,24,87,1.57
403,24,83,20.39
404,24,84,17.25
405,24,86,10.98
406,24,87,1.57
407,24,83,9.41
408,24,84,9.41
409,24,86,10.98
410,24,87,1.57
411,24,83,3.14
412,24,84,4.71
413,24,86,9.41
414,24,86,9.41
415,24,86,6.27
416,24,86,1.57
417,24,247,1.57
418,24,248,3.14
419,24,247,1.57
420,24,248,3.14
421,24,247,1.57
422,24,248,4.71
423,24,247,1.57
424,24,248,4.71
425,24,247,1.57
426,24,248,6.27
427,24,247,1.57
428,24,248,6.27
429,24,247,1.57
430,24,248,7.84
431,24,249,1.57
432,24,247,3.14
433,24,248,7.84
434,24,249,1.57
435,24,247,3.14
436,24,248,7.84
437,24,249,1.57
438,24,247,3.14
439,24,248,7.84
440,24,249,3.14
441,24,247,3.14
442,24,248,9.41
443,24,249,3.14
444,24,247,3.14
445,24,248,9.41
446,24,249,3.14
